row,Finding ID,Tier,Publication Date,Institution,Report ID
49,SCALEAI-2026-05ac-AUT2,A,2026-05-12,Scale AI,SCALEAI-2026-05ac
50,SCALEAI-2026-05ac-AUT3,A,2026-05-12,Scale AI,SCALEAI-2026-05ac
51,FARAI-2026-05-JAI1,A,2026-05-11,FAR.AI,FARAI-2026-05
52,FARAI-2026-05-JAI2,A,2026-05-11,FAR.AI,FARAI-2026-05
53,PALISADE-2026-05-AUT1,A,2026-05-07,Palisade Research,PALISADE-2026-05-SELFREP
54,PALISADE-2026-05-AUT2,A,2026-05-07,Palisade Research,PALISADE-2026-05-SELFREP
55,PALISADE-2026-05-AUT2-s2,A,2026-05-07,Palisade Research,PALISADE-2026-05-SELFREP
56,SCALEAI-2026-05s-AUT2,A,2026-05-07,Scale AI,SCALEAI-2026-05s
57,SCALEAI-2026-05e-ALI2,A,2026-05-05,Scale AI,SCALEAI-2026-05e
58,SCALEAI-2026-05e-ALI3,A,2026-05-05,Scale AI,SCALEAI-2026-05e
59,UKAISI-2026-04-CYB3,A,2026-04-30,UK AISI,UKAISI-2026-04-GPT55CYB
60,UKAISI-2026-04-CYB11,A,2026-04-30,UK AISI,UKAISI-2026-04-GPT55CYB
61,UKAISI-2026-04-JAI1,A,2026-04-30,UK AISI,UKAISI-2026-04-GPT55CYB
62,UKAISI-2026-04-ALI6,A,2026-04-27,UK AISI,UKAISI-2026-04b
63,APOLLO-2026-04-ALI5,A,2026-04-23,Apollo Research,APOLLO-2026-04-GPT55SANDBAG
64,OPENAI-2026-04-SELF-CYB1,A,2026-04-23,Irregular,OPENAI-2026-04-SELF-GPT55
65,OPENAI-2026-04-SELF-CYB2,A,2026-04-23,Irregular,OPENAI-2026-04-SELF-GPT55
66,OPENAI-2026-04-SELF-CYB4,A,2026-04-23,UK AISI,OPENAI-2026-04-SELF-GPT55
67,SECUREBIO-2026-04-BIO1,A,2026-04-23,SecureBio,SECUREBIO-2026-04
68,SECUREBIO-2026-04-BIO2,A,2026-04-23,SecureBio,SECUREBIO-2026-04
69,SECUREBIO-2026-04-BIO3,A,2026-04-23,SecureBio,SECUREBIO-2026-04
70,SECUREBIO-2026-04-BIO5,A,2026-04-23,SecureBio,SECUREBIO-2026-04
71,SECUREBIO-2026-04-BIO7,A,2026-04-23,SecureBio,SECUREBIO-2026-04
72,SECUREBIO-2026-04-BIO8,A,2026-04-23,SecureBio,SECUREBIO-2026-04
73,UKAISI-2026-04-CYB1,A,2026-04-13,UK AISI,UKAISI-2026-04-MYTHOSCYB
74,UKAISI-2026-04-CYB2,A,2026-04-13,UK AISI,UKAISI-2026-04-MYTHOSCYB
75,METR-2026-04-AUT1,A,2026-04-10,METR + Epoch AI,METR-2026-04-MIRRORCODE
76,APOLLO-2026-03-ALI2,A,2026-03-16,Apollo Research,APOLLO-2026-03
77,UKAISI-2026-03-CYB1,A,2026-03-16,UK AISI,UKAISI-2026-03
78,UKAISI-2026-03-CYB9,A,2026-03-16,UK AISI,UKAISI-2026-03
79,OPENAI-2026-03-SELF-ALI2,A,2026-03-05,Apollo Research,OPENAI-2026-03-SELF-GPT54
80,OPENAI-2026-03-SELF-CYB1,A,2026-03-05,Irregular,OPENAI-2026-03-SELF-GPT54
81,UKAISI-2026-03-CYB12,A,2026-03-01,UK AISI,UKAISI-2026-03b
82,UKAISI-2026-02-JAI1,A,2026-02-17,UK AISI,UKAISI-2026-02
83,UKAISI-2026-02-JAI1-s2,A,2026-02-17,UK AISI,UKAISI-2026-02
84,FARAI-2026-02-HUM1,A,2026-02-11,FAR.AI,FARAI-2026-02-PERSUASION
85,JOINT-2026-02-ALI1,A,2026-02-05,Joint UK AISI + US CAISI,JOINT-2026-02
86,JOINT-2026-02-ALI2,A,2026-02-05,Joint UK AISI + US CAISI,JOINT-2026-02
87,JOINT-2026-02-CYB6,A,2026-02-05,Joint UK AISI + US CAISI,JOINT-2026-02
88,JOINT-2026-02-JAI1,A,2026-02-05,Joint UK AISI + US CAISI,JOINT-2026-02
89,JOINT-2026-02-JAI3,A,2026-02-05,Joint UK AISI + US CAISI,JOINT-2026-02
90,OPENAI-2025-12b-SELF-CYB1,A,2025-12-18,Irregular,OPENAI-2025-12b-SELF-CODEX
91,USCAISI-2025-12-SOC1,A,2025-12-12,US CAISI,USCAISI-2025-12
92,DREADNODE-2025-12-JAI1,A,2025-12-11,Dreadnode,DREADNODE-2025-12b
93,DREADNODE-2025-12-JAI2,A,2025-12-11,Dreadnode,DREADNODE-2025-12b
94,GRAYSWAN-2025-12-CYB1,A,2025-12-11,Gray Swan AI,GRAYSWAN-2025-12-CONDTHEFIRS
95,OPENAI-2025-12-SELF-CYB1,A,2025-12-11,Irregular,OPENAI-2025-12-SELF-GPT52
96,PALISADE-2025-11-CYB1,A,2025-11-20,Palisade Research,PALISADE-2025-11-GPT5CTF
97,UKAISI-2025-11-ALI1,A,2025-11-13,UK AISI,UKAISI-2025-11
98,REDWOOD-2025-10-ALI1,A,2025-10-30,Redwood Research,REDWOOD-2025-10
99,HAL-2025-10-AUT2,A,2025-10-13,Princeton Holistic Agent Leaderboard (HAL),HAL-2025-10
100,HAL-2025-10-AUT4,A,2025-10-13,Princeton Holistic Agent Leaderboard (HAL),HAL-2025-10
101,USCAISI-2025-09-ALI1,A,2025-09-30,US CAISI,USCAISI-2025-09
102,USCAISI-2025-09-HUM1,A,2025-09-30,US CAISI,USCAISI-2025-09
103,USCAISI-2025-09-JAI1,A,2025-09-30,US CAISI,USCAISI-2025-09
104,ANTHROPIC-2025-09-SELF-ALI1,A,2025-09-29,UK AISI,ANTHROPIC-2025-09-SELF
105,CIP-2025-09-BIO1,A,2025-09-29,Collective Intelligence Project (Weval),CIP-2025-09-WEVAL-GLM-45
106,CIP-2025-09-HUM1,A,2025-09-29,Collective Intelligence Project (Weval),CIP-2025-09-WEVAL-GLM-45
107,JOINT-2025-09-CYB1,A,2025-09-12,Joint UK AISI + US CAISI,JOINT-2025-09-CAISIUPDATE
108,JOINT-2025-09-CYB2,A,2025-09-12,Joint UK AISI + US CAISI,JOINT-2025-09-CAISIUPDATE
109,JOINT-2025-09-JAI1,A,2025-09-12,Joint UK AISI + US CAISI,JOINT-2025-09-CAISIUPDATE
110,JOINT-2025-09-JAI2,A,2025-09-12,Joint UK AISI + US CAISI,JOINT-2025-09-CAISIUPDATE
111,JOINT-2025-09-BIO1,A,2025-09-12,Joint UK AISI + US CAISI + Anthropic,JOINT-2025-09-CONSTCLASSIFIER
112,PALISADE-2025-09-CYB1,A,2025-09-12,Palisade Research,PALISADE-2025-09-END2END
113,SHANGHAIAILAB-2025-09-ALI1,A,2025-09-04,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2025-09
114,TRANSLUCE-2025-09-JAI1,A,2025-09-03,Transluce,TRANSLUCE-2025-09
115,TRANSLUCE-2025-09-JAI1-s2,A,2025-09-03,Transluce,TRANSLUCE-2025-09
116,TRANSLUCE-2025-09-JAI1-s3,A,2025-09-03,Transluce,TRANSLUCE-2025-09
117,TRANSLUCE-2025-09-JAI1-s4,A,2025-09-03,Transluce,TRANSLUCE-2025-09
118,PALISADE-2025-08-CYB1,A,2025-08-26,Palisade Research,PALISADE-2025-08-CABLE
119,PALISADE-2025-08-JAI1,A,2025-08-26,Palisade Research,PALISADE-2025-08-CABLE
120,CIP-2025-08-ALI1,A,2025-08-20,Collective Intelligence Project (Weval),CIP-2025-08-GPT5
121,CIP-2025-08-CYB1,A,2025-08-20,Collective Intelligence Project (Weval),CIP-2025-08-GPT5
122,CIP-2025-08-BIO4,A,2025-08-17,Collective Intelligence Project (Weval),CIP-2025-08-OPUS41
123,CIP-2025-08-SOC1,A,2025-08-17,Collective Intelligence Project (Weval),CIP-2025-08-OPUS41
124,CIP-2025-08-BIO9,A,2025-08-17,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-GROK-4
125,APOLLO-2025-08-ALI2,A,2025-08-13,Apollo Research,OPENAI-2025-08-SELF
126,JOINT-2025-08-JAI1,A,2025-08-13,Joint UK AISI + US CAISI,OPENAI-2025-08-SELF
127,CIP-2025-08-BIO1,A,2025-08-12,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-CLAUDE-3-5-SONNET
128,CIP-2025-08-JAI6,A,2025-08-12,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-GEMINI-25-FLASH
129,CIP-2025-08-BIO6,A,2025-08-12,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-GEMINI-25-PRO
130,CIP-2025-08-BIO8,A,2025-08-12,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-GPT-4O
131,DREADNODE-2025-08-CYB1,A,2025-08-04,Dreadnode,DREADNODE-2025-08-EVALOFFECYBE
132,DREADNODE-2025-08-CYB2,A,2025-08-04,Dreadnode,DREADNODE-2025-08-EVALOFFECYBE
133,DREADNODE-2025-08-CYB3,A,2025-08-04,Dreadnode,DREADNODE-2025-08-EVALOFFECYBE
134,DREADNODE-2025-08-CYB4,A,2025-08-04,Dreadnode,DREADNODE-2025-08-EVALOFFECYBE
135,FARAI-2025-07b-BIO2,A,2025-07-30,FAR.AI,FARAI-2025-07b
136,UKAISI-2025-07-JAI3,A,2025-07-18,UK AISI,UKAISI-2025-07-JAI1
137,UKAISI-2025-07-JAI4,A,2025-07-18,UK AISI,UKAISI-2025-07-JAI1
138,OPENAI-2025-07-SELF-BIO2,A,2025-07-17,SecureBio,OPENAI-2025-07-SELF-AGENT
139,OPENAI-2025-07-SELF-BIO3,A,2025-07-17,SecureBio,OPENAI-2025-07-SELF-AGENT
140,OPENAI-2025-07-SELF-JAI1,A,2025-07-17,UK AISI,OPENAI-2025-07-SELF-AGENT
141,PALISADE-2025-07-ALI1,A,2025-07-05,Palisade Research,PALISADE-2025-07-SHUTDOWN
142,SHANGHAIAILAB-2025-07-JAI1,A,2025-07-03,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2025-07a
143,SHANGHAIAILAB-2025-07-JAI2,A,2025-07-03,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2025-07a
144,SHANGHAIAILAB-2025-07-JAI3,A,2025-07-03,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2025-07a
145,SCALEAI-2025-06-BIO1,A,2025-06-17,Scale AI,SCALEAI-2025-06-FORTRESS
146,METR-2025-06-ALI1,A,2025-06-05,METR,METR-2025-06
147,METR-2025-06-ALI2,A,2025-06-05,METR,METR-2025-06
148,METR-2025-06-ALI3,A,2025-06-05,METR,METR-2025-06
149,TRANSLUCE-2025-06-SOC1,A,2025-06-05,Transluce,TRANSLUCE-2025-06
150,TRANSLUCE-2025-06-SOC2,A,2025-06-05,Transluce,TRANSLUCE-2025-06
151,TRANSLUCE-2025-06-SOC3,A,2025-06-05,Transluce,TRANSLUCE-2025-06
152,JOINT-2025-05-ALI1,A,2025-05-22,Apollo Research + Anthropic (AISI-adjacent -- Apollo in AISIC),JOINT-2025-05
153,UKAISI-2025-04-ALI1,A,2025-04-22,UK AISI,UKAISI-2025-04
154,UKAISI-2025-04-ALI7,A,2025-04-22,UK AISI,UKAISI-2025-04
155,SECUREBIO-2025-04-BIO1,A,2025-04-21,SecureBio,SECUREBIO-2025-04
156,METR-2025-04-ALI2,A,2025-04-16,METR,METR-2025-04-O3O4MINI
157,METR-2025-04-ALI1,A,2025-04-04,METR,METR-2025-04-CLAUDE37
158,APOLLO-2025-03-ALI1,A,2025-03-17,Apollo Research,APOLLO-2025-03
159,HOLISTIC-2025-02-JAI2,A,2025-02-25,Holistic AI,HOLISTIC-2025-02b
160,HOLISTIC-2025-02-JAI7,A,2025-02-25,Holistic AI,HOLISTIC-2025-02b
161,UKAISI-2025-02-JAI1,A,2025-02-20,UK AISI,UKAISI-2025-02
162,SHANGHAIAILAB-2025-02-JAI3,A,2025-02-19,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2025-02-AMOUSFOOL
163,SHANGHAIAILAB-2025-02-JAI4,A,2025-02-19,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2025-02-AMOUSFOOL
164,SHANGHAIAILAB-2025-02-JAI5,A,2025-02-19,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2025-02-AMOUSFOOL
165,SCALEAI-2025-02b-JAI1,A,2025-02-11,Scale AI,SCALEAI-2025-02b
166,SCALEAI-2025-02b-JAI2,A,2025-02-11,Scale AI,SCALEAI-2025-02b
167,SCALEAI-2025-02b-JAI3,A,2025-02-11,Scale AI,SCALEAI-2025-02b
168,HOLISTIC-2025-02-JAI1,A,2025-02-05,Holistic AI,HOLISTIC-2025-02
169,HOLISTIC-2025-02-JAI5,A,2025-02-05,Holistic AI,HOLISTIC-2025-02
170,LATTICEFLOW-2025-02-CYB1,A,2025-02-04,LatticeFlow AI,LATTICEFLOW-2025-02
171,FARAI-2025-02a-JAI1,A,2025-02-03,FAR.AI,FARAI-2025-02a
172,FARAI-2025-02a-JAI2,A,2025-02-03,FAR.AI,FARAI-2025-02a
173,FARAI-2025-02a-JAI3,A,2025-02-03,FAR.AI,FARAI-2025-02a
174,FARAI-2025-02a-JAI4,A,2025-02-03,FAR.AI,FARAI-2025-02a
175,ROBUSTINT-2025-01-JAI1,A,2025-01-31,Cisco (Robust Intelligence / Foundation AI),ROBUSTINT-2025-01
176,JOINT-2025-01-JAI1,A,2025-01-17,Joint UK AISI + US CAISI,JOINT-2025-01-AGENTHIJACKING
177,JOINT-2024-12-CYB1,A,2024-12-18,Joint UK AISI + US CAISI,JOINT-2024-12
178,REDWOOD-2024-12b-ALI1,A,2024-12-18,Redwood Research,REDWOOD-2024-12b
179,REDWOOD-2024-12b-ALI2,A,2024-12-18,Redwood Research,REDWOOD-2024-12b
180,REDWOOD-2024-12b-ALI3,A,2024-12-18,Redwood Research,REDWOOD-2024-12b
181,PALISADE-2024-12-JAI1,A,2024-12-06,Palisade Research,PALISADE-2024-12-BADGPT4O
182,UKAISI-2024-12-BIO2,A,2024-12-03,UK AISI,UKAISI-2024-12
183,JOINT-2024-11-BIO2,A,2024-11-19,Joint UK AISI + US CAISI,JOINT-2024-11
184,JOINT-2024-11-JAI1,A,2024-11-19,Joint UK AISI + US CAISI,JOINT-2024-11
185,FARAI-2024-10-ALI1,A,2024-10-30,FAR.AI,FARAI-2024-10
186,FARAI-2024-10-JAI1,A,2024-10-30,FAR.AI,FARAI-2024-10
187,TRANSLUCE-2024-10-JAI1,A,2024-10-23,Transluce,TRANSLUCE-2024-10
188,SCALEAI-2024-10-JAI1,A,2024-10-11,Scale AI,SCALEAI-2024-10
189,SCALEAI-2024-10-JAI5,A,2024-10-11,Scale AI,SCALEAI-2024-10
190,UKAISI-2024-10-JAI1,A,2024-10-11,UK AISI,UKAISI-2024-10
191,UKAISI-2024-10-JAI2,A,2024-10-11,UK AISI,UKAISI-2024-10
192,UKAISI-2024-10-JAI3,A,2024-10-11,UK AISI,UKAISI-2024-10
193,UKAISI-2024-10-JAI5,A,2024-10-11,UK AISI,UKAISI-2024-10
194,UKAISI-2024-10-JAI6,A,2024-10-11,UK AISI,UKAISI-2024-10
195,UKAISI-2024-10-JAI7,A,2024-10-11,UK AISI,UKAISI-2024-10
196,CISCO-2024-08-JAI1,A,2024-08-08,Cisco (Robust Intelligence / Foundation AI),CISCO-2024-08
197,FARAI-2024-08-JAI1,A,2024-08-05,FAR.AI,FARAI-2024-08
198,CISCO-2024-07-JAI1,A,2024-07-29,Cisco (Robust Intelligence / Foundation AI),CISCO-2024-07
199,PALISADE-2024-07-JAI1,A,2024-07-01,Palisade Research,PALISADE-2024-07-BADLLAMA3
200,SHANGHAIAILAB-2024-02-GOV1,A,2024-02-07,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2024-02-SALAD
201,SHANGHAIAILAB-2024-02-JAI1,A,2024-02-07,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2024-02-SALAD
202,APOLLO-2023-11-ALI1,A,2023-11-09,Apollo Research,APOLLO-2023-11
203,PALISADE-2023-10-JAI1,A,2023-10-31,Palisade Research,PALISADE-2023-10-BADLLAMA
204,CAIS-2023-07-JAI1,A,2023-07-27,Center for AI Safety (CAIS),CAIS-2023-07
205,CAIS-2023-07-JAI2,A,2023-07-27,Center for AI Safety (CAIS),CAIS-2023-07
206,CAIS-2023-07-JAI3,A,2023-07-27,Center for AI Safety (CAIS),CAIS-2023-07
207,METR-2023-03-ALI1,A,2023-03-17,METR,METR-2023-03
208,DREADNODE-2026-07-CYB2,B,2026-07-31,Dreadnode,DREADNODE-2026-07-THESCAFIS
209,CRUX-2026-07-AUT1,B,2026-07-29,Princeton CRUX,CRUX-2026-07
210,CRUX-2026-07-AUT2,B,2026-07-29,Princeton CRUX,CRUX-2026-07
211,SECUREBIO-2026-07-JAI1,B,2026-07-28,SecureBio,SECUREBIO-2026-07c-OPUS46REVIEW
212,SECUREBIO-2026-07c-BIO1,B,2026-07-28,SecureBio,SECUREBIO-2026-07c-OPUS46REVIEW
213,ANTHROPIC-2026-07-OPUS5-CYB2,B,2026-07-24,UK AISI,ANTHROPIC-2026-07-OPUS5
214,ANTHROPIC-2026-07-OPUS5-CYB3,B,2026-07-24,UK AISI,ANTHROPIC-2026-07-OPUS5
215,JOINT-2026-07-CYB2,B,2026-07-23,Joint UK AISI + US CAISI,JOINT-2026-07-KIMIK3
216,SCALEAI-2026-07d-AUT1,B,2026-07-23,Scale AI,SCALEAI-2026-07d
217,METR-2026-07-AUT1,B,2026-07-21,METR,METR-2026-07-EXPHORIZON
218,METR-2026-07-AUT2,B,2026-07-21,METR,METR-2026-07-EXPHORIZON
219,METR-2026-07-AUT3,B,2026-07-21,METR,METR-2026-07-EXPHORIZON
220,CISCO-2026-07-CYB1,B,2026-07-17,Cisco (Robust Intelligence / Foundation AI),CISCO-2026-07
221,UKAISI-2026-07-CYB2,B,2026-07-17,UK AISI,UKAISI-2026-07-HOWFARBEHI
222,UKAISI-2026-07-CYB3,B,2026-07-17,UK AISI,UKAISI-2026-07-HOWFARBEHI
223,UKAISI-2026-07-CYB4,B,2026-07-17,UK AISI,UKAISI-2026-07-HOWFARBEHI
224,UKAISI-2026-07-CYB5,B,2026-07-17,UK AISI,UKAISI-2026-07-HOWFARBEHI
225,USCAISI-2026-07-CYB1,B,2026-07-17,US CAISI,USCAISI-2026-07-CAISASSEOF
226,USCAISI-2026-07-GOV1,B,2026-07-17,US CAISI,USCAISI-2026-07-CAISASSEOF
227,USCAISI-2026-07-JAI1,B,2026-07-17,US CAISI,USCAISI-2026-07-CAISASSEOF
228,SECUREBIO-2026-07-BIO1,B,2026-07-16,SecureBio,SECUREBIO-2026-07-BIOTIER
229,SECUREBIO-2026-07-BIO2,B,2026-07-16,SecureBio,SECUREBIO-2026-07-BIOTIER
230,SECUREBIO-2026-07-BIO3,B,2026-07-16,SecureBio,SECUREBIO-2026-07-BIOTIER
231,SECUREBIO-2026-07-BIO4,B,2026-07-16,SecureBio,SECUREBIO-2026-07-BIOTIER
232,SECUREBIO-2026-07-BIO4-s4,B,2026-07-16,SecureBio,SECUREBIO-2026-07-BIOTIER
233,SCALEAI-2026-07c-SOC1,B,2026-07-14,Scale AI,SCALEAI-2026-07c
234,JOINT-2026-07-ALI1,B,2026-07-09,Joint UK AISI + OpenAI (company-published),JOINT-2026-07
235,META-2026-07-MUSESPARK-ALI1,B,2026-07-09,Apollo Research,META-2026-07-MUSESPARK
236,SCALEAI-2026-07b-SOC1,B,2026-07-09,Scale AI,SCALEAI-2026-07b
237,SCALEAI-2026-07b-SOC2,B,2026-07-09,Scale AI,SCALEAI-2026-07b
238,JAISI-2026-07-CYB1,B,2026-07-08,Japan AI Safety Institute (J-AISI),JAISI-2026-07
239,JAISI-2026-07-CYB2,B,2026-07-08,Japan AI Safety Institute (J-AISI),JAISI-2026-07
240,SCALEAI-2026-07a-AUT1,B,2026-07-08,Scale AI,SCALEAI-2026-07a
241,SCALEAI-2026-07a-AUT2,B,2026-07-08,Scale AI,SCALEAI-2026-07a
242,APOLLO-2026-07b-ALI2,B,2026-07-07,Apollo Research,APOLLO-2026-07b
243,APOLLO-2026-07b-ALI3,B,2026-07-07,Apollo Research,APOLLO-2026-07b
244,APOLLO-2026-07b-ALI4,B,2026-07-07,Apollo Research,APOLLO-2026-07b
245,SGAISI-2026-07-SOC1,B,2026-07-07,Singapore AI Safety Institute (SGAISI) / IMDA,SGAISI-2026-07
246,UKAISI-2026-07-CYB1,B,2026-07-07,UK AISI,UKAISI-2026-07-CLOUD
247,CAIS-2026-07-AUT1,B,2026-07-01,Center for AI Safety (CAIS),CAIS-2026-07
248,CAIS-2026-07-AUT2,B,2026-07-01,Center for AI Safety (CAIS),CAIS-2026-07
249,CAIS-2026-07-AUT3,B,2026-07-01,Center for AI Safety (CAIS),CAIS-2026-07
250,FARAI-2026-06-ALI1,B,2026-06-30,FAR.AI,FARAI-2026-06
251,FARAI-2026-06-ALI2,B,2026-06-30,FAR.AI,FARAI-2026-06
252,SCALEAI-2026-06-BIO1,B,2026-06-30,Scale AI,SCALEAI-2026-06-DRUGDISCOVERY
253,SCALEAI-2026-06-BIO2,B,2026-06-30,Scale AI,SCALEAI-2026-06-DRUGDISCOVERY
254,SCALEAI-2026-06b-BIO1,B,2026-06-30,Scale AI,SCALEAI-2026-06-DRUGDISCOVERY
255,SCALEAI-2026-06b-BIO2,B,2026-06-30,Scale AI,SCALEAI-2026-06-DRUGDISCOVERY
256,SCALEAI-2026-07-ALI1,B,2026-06-30,Scale AI,SCALEAI-2026-06-DRUGDISCOVERY
257,SCALEAI-2026-07-AUT3,B,2026-06-30,Scale AI,SCALEAI-2026-06-DRUGDISCOVERY
258,SCALEAI-2026-07-BIO1,B,2026-06-30,Scale AI,SCALEAI-2026-06-DRUGDISCOVERY
259,OPENAI-2026-06-SELF-ALI1,B,2026-06-26,Apollo Research,OPENAI-2026-06-SELF-GPT56PREV
260,OPENAI-2026-06-SELF-ALI2,B,2026-06-26,Apollo Research,OPENAI-2026-06-SELF-GPT56PREV
261,OPENAI-2026-06-SELF-ALI3,B,2026-06-26,Apollo Research,OPENAI-2026-06-SELF-GPT56PREV
262,OPENAI-2026-06-SELF-AUT1,B,2026-06-26,METR,OPENAI-2026-06-SELF-GPT56PREV
263,RAND-2026-06-CYB2,B,2026-06-25,RAND Europe,RAND-2026-06-CYBAGENTS
264,HAL-2026-06-AUT2,B,2026-06-23,Princeton Holistic Agent Leaderboard (HAL),HAL-2026-06
265,HAL-2026-06-AUT4,B,2026-06-23,Princeton Holistic Agent Leaderboard (HAL),HAL-2026-06
